question(characters+phonetic),A,B,C,D,answer
滑冰 (huá bīng),sledding,surfing,ice skating,skiing,C
耐力 (nài lì),strength,endurance,patience,resistance,B
进球 (jìn qiú),score,goal,point,kick,B
体能 (tǐ néng),speed,power,health,fitness,D
马拉松 (mǎ lā sōng),marathon,jogging,relay,sprint,A
打球 (dǎ qiú),play,hit,serve,play ball,D
热身 (rè shēn),warm-up,stretch,cool down,practice,A
摔跤 (shuāi jiāo),boxing,wrestling,karate,judo,B
裁判 (cái pàn),referee,judge,captain,coach,A
排球 (pái qiú),volleyball,basketball,tennis,handball,A
滑雪 (huá xuě),skiing,ice skating,sledding,snowboarding,A
得分 (dé fēn),goal,mark,score,win,C
体操 (tǐ cāo),acrobatics,yoga,gymnastics,pilates,C
动作 (dòng zuò),motion,gesture,movement,step,C
篮球 (lán qiú),volleyball,basketball,baseball,tennis,B
拳击 (quán jī),karate,boxing,wrestling,fighting,B
比赛 (bǐ sài),practice,show,lesson,competition,D
跳水 (tiào shuǐ),jumping,diving,swimming,floating,B
射门 (shè mén),kick,pass,save,shoot,D
终点 (zhōng diǎn),goal,finish line,end,final,B
冒汗 (mào hàn),steam,wet,cool,sweat,D
游泳 (yóu yǒng),dive,ski,slide,swim,D
队伍 (duì wǔ),club,team,players,group,B
举重 (jǔ zhòng),lifting,weightlifting,pulling,pushing,B
替补 (tì bǔ),replace,substitute,bench,backup,B
乒乓球 (pīng pāng qiú),volleyball,tennis,badminton,table tennis,D
瑜伽 (yú jiā),yoga,gymnastics,stretching,pilates,A
场地 (chǎng dì),field,court,ground,track,A
跳绳 (tiào shéng),jump rope,hop,stretch,skip,A
射箭 (shè jiàn),hunting,archery,shooting,throwing,B
跳远 (tiào yuǎn),long jump,pole vault,sprint,high jump,A
呼吸 (hū xī),breath,inhale,rest,pant,A
冲刺 (chōng cì),race,run,dash,sprint,D
首发 (shǒu fā),captain,starter,main,first,B
棒球 (bàng qiú),cricket,rugby,baseball,softball,C
观众 (guān zhòng),coach,spectator,referee,player,B
跑步 (pǎo bù),walk,throw,jump,run,D
球鞋 (qiú xié),sandals,boots,sneakers,flip-flops,C
冲浪 (chōng làng),surfing,boating,diving,swimming,A
教练 (jiào liàn),captain,coach,player,referee,B
跑道 (pǎo dào),lane,field,path,track,D
力量 (lì liàng),endurance,speed,strength,power,C
训练 (xùn liàn),match,game,practice,training,D
速度 (sù dù),speed,pace,rush,energy,A
领奖 (lǐng jiǎng),receive a prize,win,clap,participate,A
体测 (tǐ cè),exam,evaluation,drill,fitness test,D
柔道 (róu dào),judo,wrestling,karate,boxing,A
羽毛球 (yǔ máo qiú),table tennis,badminton,tennis,baseball,B
运动员 (yùn dòng yuán),coach,spectator,trainer,athlete,D
助攻 (zhù gōng),support,help,assist,pass,C
